x,truedata,truelower,trueupper,diff,max,entropy ,entropy attention
-126,3.61666666666666,3.53808,3.69525,3.708995,3.74458333333333,3.20462833333333,3.67187333333333
-125,3.53871882086167,3.43161,3.64582,3.60621016439909,3.63061472222222,3.15248506235827,3.52036358276643
-124,3.51746031746031,3.41158,3.62334,3.58222445011337,3.60846446712018,3.12430861678004,3.49469555555555
-123,3.51547619047619,3.41012,3.62083,3.57811107142857,3.60488773809523,3.11827321428571,3.49039654761904
-122,3.48659611992945,3.38807,3.58512,3.54309631393298,3.55421770723104,3.0651657760141,3.39935537037037
-121,3.43011463844797,3.30812,3.55211,3.50622788800705,3.51895881834215,3.02892012786596,3.36097700617284
-120,3.4592151675485,3.35049,3.56794,3.4847869356261,3.49937908289241,3.0097549691358,3.33944655643738
-119,3.47844516594516,3.36077,3.59612,3.50844060569985,3.52635202308802,3.00526883585858,3.37367874927849
-118,3.46363636363636,3.3557,3.57157,3.49810436868686,3.52445343434343,3.03098972222222,3.37362818181818
-117,3.44583333333333,3.34222,3.54944,3.46814279431216,3.50086993386243,3.03774044973544,3.34004865079365
-116,3.47673992673992,3.37237,3.58111,3.48893837301587,3.52661917582417,3.02689446886446,3.36637071428571
-115,3.47190309690309,3.3721,3.57171,3.46847558358308,3.50842668747918,3.00729852480852,3.34528629703629
-114,3.4520646020646,3.35238,3.55174,3.45802537129537,3.4994141999667,2.99769633449883,3.33455734182484
-113,3.45991828684136,3.36934,3.5505,3.43140122569738,3.47620889335023,2.9750673816568,3.30546567695125
-112,3.42936507936507,3.33673,3.522,3.41779017094017,3.46382121794871,2.96391988705738,3.29200103479853
-109,3.39380341880341,3.31337,3.47423,3.29801344017094,3.35758679487179,2.87222801282051,3.17312948717948
-108,3.39209401709401,3.31011,3.47408,3.27641694749694,3.3384729090354,2.85680572344322,3.15331485042735
-107,3.34123931623931,3.2652,3.41727,3.22946442612942,3.29828318681318,2.822763501221,3.10579713675213
-106,3.33632478632478,3.25793,3.41472,3.19107379731379,3.26544838217338,2.79812642551892,3.06688091269841
