participant_id,trial_number,attempt_number,distribution_type,ball_weight,ball_mu,ball_sigma,ball_in_box
209,3,4,narrow_high,0.30728223437920743,0.3,0.02,True
209,3,5,wide_high,0.2909625129208806,0.3,0.06,True
209,3,6,wide_high,0.4468206274424397,0.3,0.06,False
209,3,7,wide_low,0.3942930166531049,0.22,0.06,False
209,3,8,narrow_low,0.21756877002938377,0.22,0.02,True
209,3,9,wide_low,0.17393977215925738,0.22,0.06,True
209,3,10,narrow_low,0.200391621878233,0.22,0.02,True
209,3,11,narrow_high,0.3038973719280408,0.3,0.02,True
209,3,12,wide_high,0.33417214324100925,0.3,0.06,False
209,3,13,wide_high,0.31243796779155736,0.3,0.06,False
209,3,14,narrow_low,0.1982948865811381,0.22,0.02,True
209,3,15,narrow_low,0.17153927564723753,0.22,0.02,True
209,3,16,wide_low,0.19326362243030645,0.22,0.06,True
209,4,1,wide_low,0.20254331853248134,0.22,0.06,True
209,4,2,wide_low,0.21002642889712117,0.22,0.06,True
209,4,3,narrow_low,0.22704482440696386,0.22,0.02,False
209,4,4,wide_high,0.3509896731969642,0.3,0.06,False
209,4,5,wide_low,0.31053382678996727,0.22,0.06,False
209,4,6,narrow_low,0.21440429967117292,0.22,0.02,True
209,4,7,narrow_high,0.3283514552486284,0.3,0.02,False
209,4,8,narrow_high,0.3105502990260777,0.3,0.02,True
209,4,9,wide_high,0.22601370546440486,0.3,0.06,True
209,4,10,wide_high,0.25655774048625846,0.3,0.06,True
209,4,11,narrow_high,0.3165861455544689,0.3,0.02,False
209,4,12,narrow_low,0.215193591253982,0.22,0.02,True
209,4,13,wide_high,0.32777403901910523,0.3,0.06,False
209,4,14,narrow_high,0.31025935427146356,0.3,0.02,True
209,4,15,wide_low,0.23136673633245358,0.22,0.06,True
209,4,16,narrow_low,0.23761546449752907,0.22,0.02,False
209,5,1,narrow_high,0.28837618647218594,0.3,0.02,True
209,5,2,wide_high,0.34651810857527543,0.3,0.06,False
209,5,3,narrow_high,0.2595866626109558,0.3,0.02,True
209,5,4,wide_high,0.2705130424451552,0.3,0.06,True
209,5,5,narrow_low,0.22768701765029173,0.22,0.02,True
209,5,6,narrow_high,0.3170385209144895,0.3,0.02,False
209,5,7,wide_high,0.3016705828300241,0.3,0.06,True
209,5,8,wide_low,0.1074704178537205,0.22,0.06,False
209,5,9,wide_low,0.2825657248929177,0.22,0.06,True
209,5,10,wide_low,0.18125808027201462,0.22,0.06,True
209,5,11,narrow_high,0.296361566076597,0.3,0.02,True
209,5,12,wide_high,0.2464118358905413,0.3,0.06,True
209,5,13,narrow_low,0.19356830707774175,0.22,0.02,True
209,5,14,narrow_low,0.22359657899409788,0.22,0.02,True
209,5,15,wide_low,0.2412635969457768,0.22,0.06,False
209,5,16,narrow_low,0.2530263617460029,0.22,0.02,False
211,1,1,narrow_high,0.29795187157570235,0.3,0.02,False
211,1,2,wide_high,0.26463689624445663,0.3,0.06,False
211,1,3,narrow_low,0.23581426954580545,0.22,0.02,False
211,1,4,narrow_high,0.2672842358621341,0.3,0.02,False
211,1,5,wide_high,0.21833140304581006,0.3,0.06,False
211,1,6,wide_low,0.16744270101863984,0.22,0.06,True
