participant_id,trial_number,distribution_type,first_option,second_option,chosen_type,ball_weight,action_selection_conf,success_prediction_conf,balls_in_box,trial_success,trial_reward,cumulative_reward,action_conf_selection_time,action_conf_confirmation_time,prediction_conf_selection_time,prediction_conf_confirmation_time
217,23,narrow_high,narrow_high,wide_high,narrow_high,0.3200183261023439,6.0,4.0,0.0,False,0.0,182.0,4.898000240325928,5.748000144958496,1.932999849319458,2.615000009536743
217,24,wide_low,wide_low,narrow_low,wide_low,0.2208392922710096,5.0,4.0,1.0,False,11.0,193.0,4.115999937057495,4.448999881744385,1.3999998569488523,1.7989997863769531
217,25,wide_low,wide_high,wide_low,wide_low,0.2254402339457864,6.0,5.0,1.0,False,11.0,204.0,1.766000270843506,2.116000175476074,4.0329999923706055,4.299999952316284
217,26,narrow_low,narrow_high,narrow_low,narrow_low,0.2089214556144632,6.0,5.0,1.0,False,10.0,214.0,1.5820000171661377,2.2660000324249268,1.699000120162964,2.266000270843506
217,27,wide_low,wide_low,narrow_high,wide_low,0.1637061227166085,6.0,5.0,0.0,False,0.0,214.0,2.8320000171661377,3.630999803543091,0.3340001106262207,0.7000000476837158
217,28,narrow_low,narrow_high,narrow_low,narrow_low,0.2116343278508934,6.0,4.0,1.0,False,10.0,224.0,1.182999849319458,1.431999921798706,1.4660000801086426,1.8320000171661377
217,29,wide_low,narrow_high,wide_low,wide_low,0.139746316102389,5.0,4.0,1.0,False,11.0,235.0,108.1010000705719,108.5860002040863,1.5,1.6989998817443848
217,30,narrow_high,narrow_high,narrow_low,narrow_high,0.2748599050372961,4.0,4.0,0.0,False,0.0,235.0,3.649000406265259,4.498000144958496,1.0499999523162842,1.3989996910095217
217,31,narrow_low,narrow_low,wide_high,narrow_low,0.2060793697348462,6.0,5.0,0.0,False,0.0,235.0,5.7669997215271,6.115999698638916,1.4670000076293943,1.6159999370574951
217,32,wide_low,wide_high,wide_low,wide_low,0.1872459458435897,6.0,5.0,1.0,False,11.0,246.0,1.5,1.931999921798706,1.7009999752044678,2.299999952316284
217,33,narrow_low,wide_high,narrow_low,narrow_low,0.2204707613691196,6.0,5.0,1.0,False,10.0,256.0,3.615000009536743,3.848999977111816,1.2839999198913574,1.5489997863769531
217,34,wide_low,narrow_low,wide_low,wide_low,0.263445628656876,5.0,6.0,0.0,False,0.0,256.0,2.3320000171661377,3.5320000648498535,2.2839999198913574,2.4830000400543213
217,35,wide_low,narrow_high,wide_low,wide_low,0.203266062904552,6.0,5.0,1.0,False,11.0,267.0,11.783999919891356,13.04699993133545,1.2999999523162842,1.6649999618530271
217,36,narrow_high,narrow_high,wide_high,narrow_high,0.294954158172947,5.0,5.0,1.0,False,14.0,281.0,1.4829998016357422,1.682999849319458,1.3499999046325684,1.7840001583099363
217,37,narrow_high,wide_high,narrow_high,narrow_high,0.2952616206858592,6.0,5.0,1.0,False,14.0,295.0,1.381999969482422,2.2809998989105225,1.8329999446868896,2.097999811172486
217,38,wide_low,wide_low,narrow_low,wide_low,0.242373828054262,6.0,5.0,1.0,False,11.0,306.0,1.7989997863769531,2.0830001831054688,1.3499999046325684,1.5490000247955322
217,39,narrow_high,narrow_high,wide_high,narrow_high,0.2498954751883598,6.0,5.0,1.0,False,14.0,320.0,1.7180001735687256,1.950000047683716,2.049999713897705,2.3819997310638428
217,40,narrow_high,wide_high,narrow_high,narrow_high,0.3230893503523376,6.0,5.0,0.0,False,0.0,320.0,1.9159996509552,2.200000047683716,2.3339998722076416,2.7330000400543213
217,41,narrow_high,wide_high,narrow_high,narrow_high,0.2686736295551907,6.0,5.0,1.0,False,14.0,334.0,3.950000286102295,4.449000120162964,1.1820001602172852,1.449000120162964
217,42,narrow_high,narrow_high,wide_low,narrow_high,0.3051734577534018,6.0,5.0,1.0,False,14.0,348.0,8.89900016784668,9.182000160217283,1.266000270843506,1.464000225067139
217,43,narrow_high,narrow_high,narrow_low,narrow_high,0.2698806330500134,4.0,5.0,1.0,False,14.0,362.0,1.5840001106262207,2.199000120162964,2.9670002460479736,3.182000160217285
217,45,wide_low,wide_high,wide_low,wide_low,0.2188566612405914,6.0,5.0,1.0,True,11.0,373.0,0.4670000076293945,0.7829999923706055,0.8339998722076416,1.0659997463226318
217,46,narrow_low,wide_high,narrow_low,narrow_low,0.2110890638524329,6.0,5.0,0.0,False,0.0,373.0,2.8499999046325684,3.132999897003174,0.2839996814727783,0.4669997692108154
217,47,narrow_low,wide_high,narrow_low,narrow_low,0.2583982755750435,6.0,5.0,0.0,False,0.0,373.0,1.7980000972747805,2.0500001907348633,0.0179998874664306,0.4839999675750732
217,48,wide_low,wide_high,wide_low,wide_low,0.1796351244284395,5.0,4.0,1.0,True,11.0,384.0,4.734000205993652,5.06600022315979,0.5,0.9830000400543212
217,49,narrow_high,narrow_high,wide_high,narrow_high,0.3124363349131739,6.0,5.0,0.0,False,0.0,384.0,0.3650000095367431,0.6489999294281006,0.0499999523162841,0.5329999923706055
217,50,wide_low,wide_high,wide_low,wide_low,0.2715667201713654,6.0,4.0,1.0,True,11.0,395.0,1.3329999446868896,1.566999912261963,1.681999921798706,1.8650000095367432
217,51,narrow_low,narrow_low,wide_high,narrow_low,0.2196649984855093,6.0,5.0,1.0,True,10.0,405.0,1.815999984741211,2.431999921798706,1.181999921798706,1.4150002002716064
217,52,narrow_high,narrow_high,wide_low,narrow_high,0.2876967272600834,5.0,4.0,1.0,True,14.0,419.0,1.9000003337860107,2.067000150680542,1.0340001583099363,1.184000015258789
217,53,wide_low,wide_low,narrow_low,wide_low,0.2620274667494056,6.0,5.0,1.0,True,11.0,430.0,1.7339999675750732,2.499000072479248,1.4509999752044678,1.7829999923706057
217,55,narrow_high,narrow_high,wide_low,narrow_high,0.2896058470409265,5.0,6.0,1.0,True,14.0,462.0,3.3510000705718994,3.566999912261963,1.3350000381469729,1.6500000953674316
217,56,wide_high,narrow_high,wide_high,wide_high,0.334858449199545,5.0,4.0,0.0,False,0.0,462.0,3.316999912261963,3.7819998264312744,0.9010000228881836,1.1660001277923584
217,57,narrow_high,narrow_high,narrow_low,narrow_high,0.3220179282459756,5.0,4.0,0.0,False,0.0,462.0,1.4149999618530271,1.7149996757507324,4.132999897003174,4.299999952316284
217,58,wide_low,narrow_high,wide_low,wide_low,0.2280536584107313,5.0,5.0,1.0,True,11.0,473.0,1.5679998397827148,1.7999999523162842,1.2170002460479736,1.5330002307891846
217,59,wide_low,wide_low,narrow_low,wide_low,0.3227245228460528,5.0,4.0,0.0,False,0.0,473.0,1.7150001525878906,1.9649999141693115,0.0669996738433837,0.3519999980926513
217,60,narrow_high,wide_high,narrow_high,narrow_high,0.2977014037097882,5.0,4.0,1.0,True,14.0,487.0,2.798999786376953,3.1649999618530273,0.0370001792907714,0.1830000877380371
217,61,narrow_high,wide_low,narrow_high,narrow_high,0.2938072765538346,5.0,5.0,1.0,True,14.0,501.0,0.9160001277923584,1.1820001602172852,0.0299997329711914,0.0349998474121093
217,62,narrow_low,narrow_low,narrow_high,narrow_low,0.2474419995762437,6.0,5.0,0.0,False,0.0,501.0,0.9170002937316896,1.2340002059936523,1.6339998245239258,1.8329999446868896
217,63,narrow_high,narrow_high,wide_low,narrow_high,0.2864601977341155,5.0,4.0,1.0,True,14.0,515.0,1.25,1.5159997940063477,0.5180001258850098,0.7000000476837158
217,64,wide_low,narrow_low,wide_low,wide_low,0.1477815938014082,5.0,5.0,1.0,True,11.0,526.0,1.7990000247955322,2.8989996910095215,2.4670000076293945,2.7319998741149902
217,65,narrow_high,narrow_high,wide_low,narrow_high,0.2829465368271898,5.0,5.0,1.0,True,14.0,540.0,1.684000015258789,2.115999937057495,2.8999998569488525,3.0829999446868896
217,66,wide_high,wide_high,narrow_high,wide_high,0.2300032361944541,4.0,4.0,1.0,True,18.0,558.0,1.7650001049041748,1.997999906539917,1.1499998569488523,1.368000030517578
217,67,wide_low,narrow_high,wide_low,wide_low,0.1711567368894265,6.0,5.0,1.0,True,11.0,569.0,1.815999984741211,2.0820000171661377,0.0160000324249267,0.0210001468658447
217,68,wide_low,narrow_low,wide_low,wide_low,0.3454681363950477,5.0,4.0,0.0,False,0.0,569.0,0.3340001106262207,0.6170003414154053,0.0420000553131103,0.0510001182556152
217,69,narrow_high,narrow_high,wide_high,narrow_high,0.2930139489467629,5.0,5.0,1.0,True,14.0,583.0,1.3839998245239258,2.5,1.3319997787475586,1.5989999771118164
217,70,wide_low,wide_low,narrow_low,wide_low,0.257502698308228,5.0,5.0,0.0,False,0.0,583.0,2.499000072479248,3.0329999923706055,0.3819999694824219,0.5820000171661377
217,71,wide_low,wide_high,wide_low,wide_low,0.1935549518835227,5.0,5.0,1.0,True,11.0,594.0,1.9489998817443848,2.115999698638916,0.5500001907348633,0.8169999122619629
